dish,date,confirmed_so_far,rank,Continent
Tenderloin Steak,1895-01-01,6029,6.0,Steak
Clam Chowder and Halibut Steak,1895-01-01,1,181.0,SteakSeafood
Chicken Liver,1895-01-01,1568,101.0,Chicken
"Crab meat with Lettuce, Special Dressing",1895-01-01,2961,53.0,Seafood
Squab Chicken,1895-01-01,5667,9.0,Chicken
Nova Scotia Lox and Scrambled Eggs,1895-01-01,2715,65.0,SeafoodChicken
Clam Stew with Milk,1895-01-01,1611,99.0,Seafood
Halibut Steak with Wings,1895-01-01,1,182.0,SteakChickenSeafood
Nova Scotia Lox and Scrambled Eggs,1895-01-01,2182,84.0,SeafoodChicken
Cold Lobster,1895-01-01,2680,66.0,Seafood
Soft Drink,1895-01-01,2269,78.0,
Steamed Hard Clams,1895-01-01,551,132.0,SteakSeafood
Squab Chicken and Malossol Caviar,1895-01-01,1,183.0,SteakSeafood
Crab Meat,1896-01-01,1940,97.0,Seafood
Chicken Ferrego,1896-01-01,2571,74.0,Chicken
Family Halibut Delight,1896-01-01,2781,66.0,SteakSeafood
Yum Yum Chicken,1896-01-01,2443,78.0,Chicken
Steak and Crab,1896-01-01,1,153.0,SteakSeafood
"Beefsteak, Broiled",1896-01-01,329,135.0,Steak
Salmon Steak with Chicken Wings,1896-01-01,2856,63.0,SeafoodChicken
Chicken Fajita,1896-01-01,2973,57.0,Chicken
Fusilli with Octopus,1896-01-01,4210,22.0,SteakChickenSeafood
Strip bacon with Chicken,1896-01-01,4968,12.0,Chicken
Chicken Fried Steak Sandwich,1896-01-01,2317,84.0,Chicken
Oyster Pan Roast,1896-01-01,3585,36.0,Seafood
Cream of Trout,1896-01-01,1691,100.0,Seafood
Tenderloin Steak with Mushrooms,1896-01-01,970,124.0,Steak
Chicken Fajita and Salad,1896-01-01,2417,80.0,Chicken
Chicken Curry,1896-01-01,4888,13.0,Chicken
Sirloin Steak with Mushrooms,1896-01-01,1,154.0,Steak
Halibut Steak,1896-01-01,551,130.0,SteakSeafood
Escargo,1896-01-01,329,136.0,Seafood
Nova Scotia Lox and Scrambled Eggs,1896-01-01,1472,106.0,SeafoodChicken
Soft Drink with Chicken,1896-01-01,2560,75.0,Chicken
"Cream of Eye, Catfish",1896-01-01,1,155.0,SteakSeafood
Clam Chowder,1896-01-01,4146,23.0,SeafoodChicken
Trout Milk,1896-01-01,2680,69.0,Seafood
Half Pound Wings,1896-01-01,2835,64.0,Chicken
Fried Scallops,1896-01-01,2124,93.0,SteakSeafood
Seabass Beer and Steak,1896-01-01,1,156.0,SteakSeafood
Crab Meat Salad,1896-01-01,1,157.0,SteakSeafood
Sushi,1896-01-01,2200,90.0,Seafood
Milk Fed Chicken,1896-01-01,1522,104.0,SteakSeafood
Porterhouse Steak,1896-01-01,4421,18.0,Steak
Stripped Bass,1896-01-01,329,137.0,SteakSeafood
Broiled Oysters,1896-01-01,329,138.0,SteakSeafood
"Half n half, lobster and chicken special",1896-01-01,3552,41.0,SeafoodChicken
Clams,1896-01-01,7555,1.0,Seafood
"Chicken Soup, Lobster Dinner",1896-01-01,2930,59.0,SeafoodChicken
Crab Flake Salad,1896-01-01,1,158.0,SteakSeafood
Cold Brew,1896-01-01,720,125.0,
Latte,1896-01-01,1568,103.0,
Bone Sirloin Steak,1896-01-01,2623,71.0,Steak
Machiatto,1896-01-01,1299,111.0,
Omelette With Chicken Livers,1896-01-01,2911,61.0,Chicken
Salisbury Steak,1896-01-01,1419,108.0,Steak
Chicken Mayonnaise,1896-01-01,2602,73.0,Chicken
Adam's Brew,1896-01-01,4223,21.0,
Chicken Fricassee,1896-01-01,4620,16.0,Chicken
"Halibut House, Picanhe Steak",1896-01-01,329,139.0,SteakSeafood
Reindeer Steak,1896-01-01,1,159.0,Steak
Beef Steak,1896-01-01,2144,92.0,Steak
Nova Scotia Lox and Scrambled Eggs,1896-01-01,3353,45.0,SeafoodChicken
Party Size Mussels and Shrimp,1896-01-01,3528,42.0,SteakSeafood
"Steak, Gerostet",1896-01-01,329,140.0,Steak
Cream,1896-01-01,1068,119.0,SteakSeafood
Chicken Teriyaki,1896-01-01,3557,40.0,Chicken
Ginger Ale,1896-01-01,329,141.0,
Clam Stew,1896-01-01,1068,120.0,SteakSeafood
Cream Soup with Fish,1896-01-01,329,142.0,SteakChickenSeafood
Chicken Fried,1896-01-01,3839,28.0,Chicken
Chicken Sandwich,1896-01-01,6154,7.0,Chicken
Smoked Salmon and Pulled Beef,1896-01-01,329,143.0,SteakSeafood
Roast Chicken,1896-01-01,2253,88.0,Chicken
Chicken And Ham Pie,1896-01-01,6388,5.0,Chicken
Imported Sardines,1896-01-01,1419,109.0,SteakSeafood
Chicken Okra Soup,1896-01-01,3870,27.0,Chicken
Rump Steak,1896-01-01,1,160.0,Steak
Sirloin Steak for 2,1896-01-01,1299,112.0,Steak
Shashimi,1896-01-01,329,144.0,SteakSeafood
Boneless Catfish Fillet for two,1896-01-01,1,161.0,SteakSeafood
Nova Scotia Lox and Scrambled Eggs,1896-01-01,1154,116.0,SeafoodChicken
Minute Steak,1896-01-01,1,162.0,Steak
Cola,1896-01-01,329,145.0,
Steak Minute,1896-01-01,1472,107.0,Steak
Chicken Parmesan,1896-01-01,2661,70.0,Chicken
Wings and Beer Deal,1896-01-01,3705,33.0,Chicken
Clam Chowder and bread,1896-01-01,3335,47.0,Seafood
Fried Oyster Crabs,1896-01-01,3664,34.0,Seafood
Cape Cod Oysters,1896-01-01,6516,3.0,Seafood
Trout Saute,1896-01-01,3328,48.0,Seafood
Sliced Chicken Sandwich,1896-01-01,4070,24.0,Chicken
Clam Fry,1896-01-01,3814,29.0,Seafood
Roast Chicken,1896-01-01,7077,2.0,Chicken
Ham Steak,1896-01-01,1611,102.0,Steak
Imported Caviar,1896-01-01,4456,17.0,Seafood
Broiled Hamburg Chicken,1896-01-01,2623,72.0,Seafood
Clam Broth in Cup,1896-01-01,2317,85.0,Seafood
Salmon Steak,1896-01-01,1154,117.0,SteakSeafood
Surf and Turf,1896-01-01,1,163.0,SteakChickenSeafood
Oyster Au Gratin,1896-01-01,5981,8.0,Seafood
Plaintain,1896-01-01,1795,99.0,
Fresh Beluga Caviar,1896-01-01,3148,53.0,Seafood
Canape Caviar,1896-01-01,720,126.0,Seafood
Chicken Omelette,1896-01-01,2773,67.0,Chicken
Lobster Roll,1896-01-01,3189,51.0,Seafood
Small Tenderloin Steak,1896-01-01,1,164.0,SteakSeafood
Curried Crab Meat with Rice,1896-01-01,551,131.0,SteakSeafood
Oyster's A La Poulette,1896-01-01,1,165.0,SteakSeafood
Chicken Soup,1896-01-01,2015,95.0,Chicken
Chicken with Rice,1896-01-01,2182,91.0,Chicken
Barbeque Chicken,1896-01-01,3715,32.0,Chicken
Beef Minute Steak and Sardines,1896-01-01,1,166.0,SteakSeafood
Cream and Mushroom,1896-01-01,1,167.0,SteakSeafood
Crab meat cocktail,1896-01-01,4405,19.0,Seafood
Anchovies and Mustard,1896-01-01,1522,105.0,Seafood
Family Halibut Steak,1896-01-01,1,168.0,SteakSeafood
Chicken Cream,1896-01-01,2443,79.0,Chicken
Chicken Cream for Two,1896-01-01,1,169.0,SteakChickenSeafood
Shrimp Cocktail and Steak,1896-01-01,551,132.0,SteakSeafood
"Steak Minute, Fifth Avenue",1896-01-01,720,127.0,SteakSeafood
Hamburger Steak,1896-01-01,3219,50.0,Steak
Chicken Pot Pie,1896-01-01,2390,81.0,Chicken
Chicken Noodle,1896-01-01,1154,118.0,Chicken
Broiled Striped Bass,1896-01-01,1068,121.0,Seafood
Chicken Bologne,1896-01-01,720,128.0,Chicken
Brazzlian steak and seafood,1896-01-01,2560,76.0,SteakSeafood
Lobster and Steak,1896-01-01,1,170.0,SteakSeafood
Caviar Sandwich,1896-01-01,720,129.0,SteakSeafood
Tomatoe Stuffed Crab Meat,1896-01-01,329,146.0,Seafood
"Chicken Broth, Bellevue Per Cup",1896-01-01,5110,11.0,Chicken
Lobster Cream with Whole Chicken,1896-01-01,2015,96.0,SteakChickenSeafood
Broiled Sirloin Steak,1896-01-01,329,147.0,Steak
"Lobster, Newburg",1896-01-01,1,171.0,SteakSeafood
Crab Meat Cocktail,1896-01-01,1230,114.0,SteakSeafood
Bebinca,1896-01-01,2376,82.0,
Healy's Special Individual Chicken Pie,1896-01-01,4868,14.0,Chicken
Lobster Mayonnaise,1896-01-01,2376,83.0,Seafood
Crab Legs,1896-01-01,3996,25.0,Seafood
Chicken A La King with Clams,1896-01-01,1,172.0,SteakChickenSeafood
Sirloin Steak with Onions,1896-01-01,2936,58.0,Steak
Cream of Mushroom with Chicken and Mussels App,1896-01-01,1,173.0,SteakChickenSeafood
Nova Scotia Lox and Scrambled Eggs,1896-01-01,1419,110.0,SeafoodChicken
"Crab Cocktail, Whole Chicken",1896-01-01,3466,43.0,SeafoodChicken
"Salad, Lobster",1896-01-01,3413,44.0,Seafood
Half Chicken,1896-01-01,3756,30.0,Chicken
Half Broiled Chicken,1896-01-01,4309,20.0,Chicken
Fresh Caviar,1896-01-01,3936,26.0,Seafood
Chicken A La Maryland,1896-01-01,3583,37.0,Chicken
Little Neck Clams,1896-01-01,3353,46.0,Seafood
Blue Point Oysters,1896-01-01,1230,115.0,SteakSeafood
Extra Sirloin Steak,1896-01-01,551,133.0,Steak
Small Steak,1896-01-01,329,148.0,Steak
"Fried Spring Chicken, Halibut Steak, Milk",1896-01-01,1,174.0,SteakChickenSeafood
Chicken-fried Steak,1896-01-01,2997,56.0,Chicken
Healey's Special Individual Chicken Pie,1896-01-01,1,175.0,SteakSeafood
Pan Roast Oysters,1896-01-01,3575,38.0,Seafood
Fresh Lobster Cocktail and Steak,1896-01-01,2082,94.0,SteakSeafood
Broiled Squab Chicken (half),1896-01-01,2897,62.0,Chicken
Steak and Oyster Cream,1896-01-01,1068,122.0,SteakSeafood
Deviled Lobster,1896-01-01,1,176.0,SteakSeafood
Bordeaux Sardines,1896-01-01,3736,31.0,Seafood
Chicken Cream,1896-01-01,3020,55.0,Chicken
Chicken Noodle Soup,1896-01-01,3605,35.0,Chicken
Chicken Halibut Steak,1896-01-01,1,177.0,SteakChickenSeafood
Clam Chowder and Steak,1896-01-01,329,149.0,SteakSeafood
Salman Steak,1896-01-01,3157,52.0,SteakSeafood
Boneless Catfish Fillet,1896-01-01,1,178.0,SteakSeafood
Chicken Broth,1896-01-01,6499,4.0,Chicken
Canape De Caviar,1896-01-01,2527,77.0,Seafood
Mackeral Steak,1896-01-01,329,150.0,SteakSeafood
Nova Scotia Lox and Scrambled Eggs,1896-01-01,329,151.0,SeafoodChicken
Chicken Nachos,1896-01-01,4786,15.0,Chicken
Chicken Salad Wrap,1896-01-01,5461,10.0,Chicken
Omelette,1896-01-01,2930,60.0,
Ambassador Cup,1896-01-01,1,179.0,Seafood
Halibut Steak for Two,1896-01-01,1068,123.0,SteakSeafood
Boneless Sardines,1896-01-01,3570,39.0,Seafood
Pancakes,1896-01-01,1,180.0,
Steak and Lobster,1896-01-01,329,152.0,SteakSeafood
Venison Steak,1896-01-01,1299,113.0,Steak
Codfish with Mushroom Soup,1896-01-01,2236,89.0,SteakSeafood
Lobster Cocktail,1896-01-01,3328,49.0,Seafood
Tenderloin Steak,1896-01-01,6308,6.0,Steak
Clam Chowder and Halibut Steak,1896-01-01,1,181.0,SteakSeafood
Chicken Liver,1896-01-01,1652,101.0,Chicken
"Crab meat with Lettuce, Special Dressing",1896-01-01,3109,54.0,Seafood
Squab Chicken,1896-01-01,5791,9.0,Chicken
Nova Scotia Lox and Scrambled Eggs,1896-01-01,2835,65.0,SeafoodChicken
Clam Stew with Milk,1896-01-01,1886,98.0,Seafood
Halibut Steak with Wings,1896-01-01,1,182.0,SteakChickenSeafood
Nova Scotia Lox and Scrambled Eggs,1896-01-01,2286,87.0,SeafoodChicken
Cold Lobster,1896-01-01,2765,68.0,Seafood
Soft Drink,1896-01-01,2317,86.0,
Steamed Hard Clams,1896-01-01,551,134.0,SteakSeafood
Squab Chicken and Malossol Caviar,1896-01-01,1,183.0,SteakSeafood
Crab Meat,1897-01-01,2038,97.0,Seafood
Chicken Ferrego,1897-01-01,2632,78.0,Chicken
Family Halibut Delight,1897-01-01,2805,68.0,SteakSeafood
Yum Yum Chicken,1897-01-01,2680,75.0,Chicken
Steak and Crab,1897-01-01,329,142.0,SteakSeafood
"Beefsteak, Broiled",1897-01-01,329,143.0,Steak
Salmon Steak with Chicken Wings,1897-01-01,3047,62.0,SeafoodChicken
Chicken Fajita,1897-01-01,3089,59.0,Chicken
Fusilli with Octopus,1897-01-01,4315,23.0,SteakChickenSeafood
Strip bacon with Chicken,1897-01-01,5087,12.0,Chicken
Chicken Fried Steak Sandwich,1897-01-01,2317,90.0,Chicken
Oyster Pan Roast,1897-01-01,3603,42.0,Seafood
Cream of Trout,1897-01-01,1795,102.0,Seafood
Tenderloin Steak with Mushrooms,1897-01-01,970,128.0,Steak
Chicken Fajita and Salad,1897-01-01,2623,79.0,Chicken
Chicken Curry,1897-01-01,5048,13.0,Chicken
Sirloin Steak with Mushrooms,1897-01-01,1,160.0,Steak
Halibut Steak,1897-01-01,551,135.0,SteakSeafood
Escargo,1897-01-01,551,136.0,Seafood
Nova Scotia Lox and Scrambled Eggs,1897-01-01,1611,109.0,SeafoodChicken
Soft Drink with Chicken,1897-01-01,2797,69.0,Chicken
"Cream of Eye, Catfish",1897-01-01,1,161.0,SteakSeafood
Clam Chowder,1897-01-01,4316,22.0,SeafoodChicken
Trout Milk,1897-01-01,2706,73.0,Seafood
Half Pound Wings,1897-01-01,3042,64.0,Chicken
Fried Scallops,1897-01-01,2253,93.0,SteakSeafood
Seabass Beer and Steak,1897-01-01,1,162.0,SteakSeafood
Crab Meat Salad,1897-01-01,329,144.0,SteakSeafood
Sushi,1897-01-01,2417,85.0,Seafood
Milk Fed Chicken,1897-01-01,1795,103.0,SteakSeafood
Porterhouse Steak,1897-01-01,4591,17.0,Steak
Stripped Bass,1897-01-01,720,130.0,SteakSeafood
Broiled Oysters,1897-01-01,329,145.0,SteakSeafood
"Half n half, lobster and chicken special",1897-01-01,3938,30.0,SeafoodChicken
Clams,1897-01-01,7556,1.0,Seafood
"Chicken Soup, Lobster Dinner",1897-01-01,3193,54.0,SeafoodChicken
Crab Flake Salad,1897-01-01,1,163.0,SteakSeafood
Cold Brew,1897-01-01,720,131.0,
Latte,1897-01-01,1727,104.0,
Bone Sirloin Steak,1897-01-01,2797,70.0,Steak
Machiatto,1897-01-01,1299,117.0,
Omelette With Chicken Livers,1897-01-01,3047,63.0,Chicken
Salisbury Steak,1897-01-01,1652,106.0,Steak
Chicken Mayonnaise,1897-01-01,2602,80.0,Chicken
Adam's Brew,1897-01-01,4351,21.0,
Chicken Fricassee,1897-01-01,4682,16.0,Chicken
"Halibut House, Picanhe Steak",1897-01-01,329,146.0,SteakSeafood
Reindeer Steak,1897-01-01,1,164.0,Steak
Beef Steak,1897-01-01,2652,77.0,Steak
Nova Scotia Lox and Scrambled Eggs,1897-01-01,3779,36.0,SeafoodChicken
Party Size Mussels and Shrimp,1897-01-01,3603,43.0,SteakSeafood
"Steak, Gerostet",1897-01-01,329,147.0,Steak
Cream,1897-01-01,1068,124.0,SteakSeafood
Chicken Teriyaki,1897-01-01,3598,44.0,Chicken
Ginger Ale,1897-01-01,329,148.0,
Clam Stew,1897-01-01,1299,118.0,SteakSeafood
Cream Soup with Fish,1897-01-01,329,149.0,SteakChickenSeafood
Chicken Fried,1897-01-01,3921,31.0,Chicken
Chicken Sandwich,1897-01-01,6260,7.0,Chicken
Smoked Salmon and Pulled Beef,1897-01-01,720,132.0,SteakSeafood
Roast Chicken,1897-01-01,2301,91.0,Chicken
Chicken And Ham Pie,1897-01-01,6569,5.0,Chicken
Imported Sardines,1897-01-01,1652,107.0,SteakSeafood
Chicken Okra Soup,1897-01-01,3987,27.0,Chicken
Rump Steak,1897-01-01,1,165.0,Steak
Sirloin Steak for 2,1897-01-01,1472,113.0,Steak
Shashimi,1897-01-01,329,150.0,SteakSeafood
Boneless Catfish Fillet for two,1897-01-01,1,166.0,SteakSeafood
Nova Scotia Lox and Scrambled Eggs,1897-01-01,1154,121.0,SeafoodChicken
Minute Steak,1897-01-01,551,137.0,Steak
Cola,1897-01-01,329,151.0,
Steak Minute,1897-01-01,1914,100.0,Steak
Chicken Parmesan,1897-01-01,2765,71.0,Chicken
Wings and Beer Deal,1897-01-01,3854,33.0,Chicken
Clam Chowder and bread,1897-01-01,3495,46.0,Seafood
Fried Oyster Crabs,1897-01-01,3783,35.0,Seafood
Cape Cod Oysters,1897-01-01,6562,6.0,Seafood
Trout Saute,1897-01-01,3384,49.0,Seafood
Sliced Chicken Sandwich,1897-01-01,4212,25.0,Chicken
Clam Fry,1897-01-01,4154,26.0,Seafood
Roast Chicken,1897-01-01,7173,2.0,Chicken
Ham Steak,1897-01-01,1652,108.0,Steak
Imported Caviar,1897-01-01,4494,19.0,Seafood
Broiled Hamburg Chicken,1897-01-01,2765,72.0,Seafood
Clam Broth in Cup,1897-01-01,2390,86.0,Seafood
Salmon Steak,1897-01-01,1154,122.0,SteakSeafood
Surf and Turf,1897-01-01,1,167.0,SteakChickenSeafood
Oyster Au Gratin,1897-01-01,5988,8.0,Seafood
Plaintain,1897-01-01,1827,101.0,
Fresh Beluga Caviar,1897-01-01,3197,53.0,Seafood
Canape Caviar,1897-01-01,1068,125.0,Seafood
Chicken Omelette,1897-01-01,2949,65.0,Chicken
Lobster Roll,1897-01-01,3215,52.0,Seafood
Small Tenderloin Steak,1897-01-01,1,168.0,SteakSeafood
Curried Crab Meat with Rice,1897-01-01,551,138.0,SteakSeafood
Oyster's A La Poulette,1897-01-01,1,169.0,SteakSeafood
Chicken Soup,1897-01-01,2015,99.0,Chicken
Chicken with Rice,1897-01-01,2361,88.0,Chicken
Barbeque Chicken,1897-01-01,3972,28.0,Chicken
Beef Minute Steak and Sardines,1897-01-01,720,133.0,SteakSeafood
Cream and Mushroom,1897-01-01,1,170.0,SteakSeafood
Crab meat cocktail,1897-01-01,4499,18.0,Seafood
Anchovies and Mustard,1897-01-01,1522,111.0,Seafood
Family Halibut Steak,1897-01-01,1,171.0,SteakSeafood
Chicken Cream,1897-01-01,2571,83.0,Chicken
Chicken Cream for Two,1897-01-01,1,172.0,SteakChickenSeafood
Shrimp Cocktail and Steak,1897-01-01,551,139.0,SteakSeafood
"Steak Minute, Fifth Avenue",1897-01-01,1472,114.0,SteakSeafood
Hamburger Steak,1897-01-01,3367,50.0,Steak
Chicken Pot Pie,1897-01-01,2592,82.0,Chicken
Chicken Noodle,1897-01-01,1419,116.0,Chicken
Broiled Striped Bass,1897-01-01,1068,126.0,Seafood
Chicken Bologne,1897-01-01,1568,110.0,Chicken
Brazzlian steak and seafood,1897-01-01,2698,74.0,SteakSeafood
Lobster and Steak,1897-01-01,1,173.0,SteakSeafood
Caviar Sandwich,1897-01-01,720,134.0,SteakSeafood
Tomatoe Stuffed Crab Meat,1897-01-01,329,152.0,Seafood
"Chicken Broth, Bellevue Per Cup",1897-01-01,5247,11.0,Chicken
Lobster Cream with Whole Chicken,1897-01-01,2236,94.0,SteakChickenSeafood
Broiled Sirloin Steak,1897-01-01,329,153.0,Steak
"Lobster, Newburg",1897-01-01,329,154.0,SteakSeafood
Crab Meat Cocktail,1897-01-01,1472,115.0,SteakSeafood
Bebinca,1897-01-01,2602,81.0,
Healy's Special Individual Chicken Pie,1897-01-01,4932,14.0,Chicken
Lobster Mayonnaise,1897-01-01,2376,87.0,Seafood
Crab Legs,1897-01-01,4259,24.0,Seafood
Chicken A La King with Clams,1897-01-01,1,174.0,SteakChickenSeafood
Sirloin Steak with Onions,1897-01-01,3094,57.0,Steak
Cream of Mushroom with Chicken and Mussels App,1897-01-01,329,155.0,SteakChickenSeafood
Nova Scotia Lox and Scrambled Eggs,1897-01-01,1522,112.0,SeafoodChicken
"Crab Cocktail, Whole Chicken",1897-01-01,3466,47.0,SeafoodChicken
"Salad, Lobster",1897-01-01,3454,48.0,Seafood
Half Chicken,1897-01-01,3881,32.0,Chicken
Half Broiled Chicken,1897-01-01,4492,20.0,Chicken
Fresh Caviar,1897-01-01,3951,29.0,Seafood
Chicken A La Maryland,1897-01-01,3657,41.0,Chicken
Little Neck Clams,1897-01-01,3520,45.0,Seafood
Blue Point Oysters,1897-01-01,1691,105.0,SteakSeafood
Extra Sirloin Steak,1897-01-01,551,140.0,Steak
Small Steak,1897-01-01,329,156.0,Steak
"Fried Spring Chicken, Halibut Steak, Milk",1897-01-01,1,175.0,SteakChickenSeafood
Chicken-fried Steak,1897-01-01,3129,55.0,Chicken
Healey's Special Individual Chicken Pie,1897-01-01,1,176.0,SteakSeafood
Pan Roast Oysters,1897-01-01,3734,38.0,Seafood
Fresh Lobster Cocktail and Steak,1897-01-01,2218,95.0,SteakSeafood
Broiled Squab Chicken (half),1897-01-01,3084,60.0,Chicken
Steak and Oyster Cream,1897-01-01,1154,123.0,SteakSeafood
Deviled Lobster,1897-01-01,1,177.0,SteakSeafood
Bordeaux Sardines,1897-01-01,3812,34.0,Seafood
Chicken Cream,1897-01-01,3094,58.0,Chicken
Chicken Noodle Soup,1897-01-01,3728,39.0,Chicken
Chicken Halibut Steak,1897-01-01,1,178.0,SteakChickenSeafood
Clam Chowder and Steak,1897-01-01,329,157.0,SteakSeafood
Salman Steak,1897-01-01,3363,51.0,SteakSeafood
Boneless Catfish Fillet,1897-01-01,1,179.0,SteakSeafood
Chicken Broth,1897-01-01,6589,3.0,Chicken
Canape De Caviar,1897-01-01,2661,76.0,Seafood
Mackeral Steak,1897-01-01,329,158.0,SteakSeafood
Nova Scotia Lox and Scrambled Eggs,1897-01-01,856,129.0,SeafoodChicken
Chicken Nachos,1897-01-01,4863,15.0,Chicken
Chicken Salad Wrap,1897-01-01,5644,10.0,Chicken
Omelette,1897-01-01,3084,61.0,
Ambassador Cup,1897-01-01,1,180.0,Seafood
Halibut Steak for Two,1897-01-01,1068,127.0,SteakSeafood
Boneless Sardines,1897-01-01,3688,40.0,Seafood
Pancakes,1897-01-01,1,181.0,
Steak and Lobster,1897-01-01,1299,119.0,SteakSeafood
Venison Steak,1897-01-01,1299,120.0,Steak
Codfish with Mushroom Soup,1897-01-01,2455,84.0,SteakSeafood
Lobster Cocktail,1897-01-01,3763,37.0,Seafood
Tenderloin Steak,1897-01-01,6575,4.0,Steak
Clam Chowder and Halibut Steak,1897-01-01,1,182.0,SteakSeafood
Chicken Liver,1897-01-01,2038,98.0,Chicken
"Crab meat with Lettuce, Special Dressing",1897-01-01,3109,56.0,Seafood
Squab Chicken,1897-01-01,5915,9.0,Chicken
Nova Scotia Lox and Scrambled Eggs,1897-01-01,2943,66.0,SeafoodChicken
Clam Stew with Milk,1897-01-01,2124,96.0,Seafood
Halibut Steak with Wings,1897-01-01,1,183.0,SteakChickenSeafood
Nova Scotia Lox and Scrambled Eggs,1897-01-01,2286,92.0,SeafoodChicken
Cold Lobster,1897-01-01,2812,67.0,Seafood
Soft Drink,1897-01-01,2361,89.0,
Steamed Hard Clams,1897-01-01,551,141.0,SteakSeafood
Squab Chicken and Malossol Caviar,1897-01-01,329,159.0,SteakSeafood
Crab Meat,1898-01-01,2061,100.0,Seafood
Chicken Ferrego,1898-01-01,2689,81.0,Chicken
Family Halibut Delight,1898-01-01,3104,65.0,SteakSeafood
Yum Yum Chicken,1898-01-01,2789,74.0,Chicken
Steak and Crab,1898-01-01,551,139.0,SteakSeafood
"Beefsteak, Broiled",1898-01-01,329,149.0,Steak
Salmon Steak with Chicken Wings,1898-01-01,3193,61.0,SeafoodChicken
Chicken Fajita,1898-01-01,3202,60.0,Chicken
Fusilli with Octopus,1898-01-01,4526,20.0,SteakChickenSeafood
Strip bacon with Chicken,1898-01-01,5202,13.0,Chicken
Chicken Fried Steak Sandwich,1898-01-01,2443,88.0,Chicken
Oyster Pan Roast,1898-01-01,3650,47.0,Seafood
Cream of Trout,1898-01-01,1940,102.0,Seafood
Tenderloin Steak with Mushrooms,1898-01-01,1068,126.0,Steak
Chicken Fajita and Salad,1898-01-01,2689,82.0,Chicken
Chicken Curry,1898-01-01,5202,12.0,Chicken
Sirloin Steak with Mushrooms,1898-01-01,1,161.0,Steak
Halibut Steak,1898-01-01,551,140.0,SteakSeafood
Escargo,1898-01-01,551,141.0,Seafood
Nova Scotia Lox and Scrambled Eggs,1898-01-01,1762,108.0,SeafoodChicken
Soft Drink with Chicken,1898-01-01,2827,73.0,Chicken
"Cream of Eye, Catfish",1898-01-01,1,162.0,SteakSeafood
Clam Chowder,1898-01-01,4493,22.0,SeafoodChicken
Trout Milk,1898-01-01,2749,78.0,Seafood
Half Pound Wings,1898-01-01,3215,59.0,Chicken
Fried Scallops,1898-01-01,2571,86.0,SteakSeafood
Seabass Beer and Steak,1898-01-01,1,163.0,SteakSeafood
Crab Meat Salad,1898-01-01,720,131.0,SteakSeafood
Sushi,1898-01-01,2443,89.0,Seafood
Milk Fed Chicken,1898-01-01,1991,101.0,SteakSeafood
Porterhouse Steak,1898-01-01,4830,16.0,Steak
Stripped Bass,1898-01-01,720,132.0,SteakSeafood
Broiled Oysters,1898-01-01,329,150.0,SteakSeafood
"Half n half, lobster and chicken special",1898-01-01,4112,29.0,SeafoodChicken
Clams,1898-01-01,7556,1.0,Seafood
"Chicken Soup, Lobster Dinner",1898-01-01,3343,54.0,SeafoodChicken
Crab Flake Salad,1898-01-01,1,164.0,SteakSeafood
Cold Brew,1898-01-01,720,133.0,
Latte,1898-01-01,1886,105.0,
Bone Sirloin Steak,1898-01-01,2985,68.0,Steak
Machiatto,1898-01-01,1568,115.0,
Omelette With Chicken Livers,1898-01-01,3377,52.0,Chicken
Salisbury Steak,1898-01-01,1827,107.0,Steak
Chicken Mayonnaise,1898-01-01,2757,77.0,Chicken
Adam's Brew,1898-01-01,4475,23.0,
Chicken Fricassee,1898-01-01,4724,17.0,Chicken
"Halibut House, Picanhe Steak",1898-01-01,329,151.0,SteakSeafood
Reindeer Steak,1898-01-01,1,165.0,Steak
Beef Steak,1898-01-01,2955,69.0,Steak
Nova Scotia Lox and Scrambled Eggs,1898-01-01,4003,33.0,SeafoodChicken
Party Size Mussels and Shrimp,1898-01-01,3624,48.0,SteakSeafood
"Steak, Gerostet",1898-01-01,720,134.0,Steak
Cream,1898-01-01,1068,127.0,SteakSeafood
Chicken Teriyaki,1898-01-01,3652,45.0,Chicken
Ginger Ale,1898-01-01,329,152.0,
Clam Stew,1898-01-01,1299,122.0,SteakSeafood
Cream Soup with Fish,1898-01-01,329,153.0,SteakChickenSeafood
Chicken Fried,1898-01-01,4026,32.0,Chicken
Chicken Sandwich,1898-01-01,6348,7.0,Chicken
Smoked Salmon and Pulled Beef,1898-01-01,856,129.0,SteakSeafood
Roast Chicken,1898-01-01,2390,93.0,Chicken
Chicken And Ham Pie,1898-01-01,6648,5.0,Chicken
Imported Sardines,1898-01-01,1762,109.0,SteakSeafood
Chicken Okra Soup,1898-01-01,4035,31.0,Chicken
Rump Steak,1898-01-01,1,166.0,Steak
Sirloin Steak for 2,1898-01-01,1691,111.0,Steak
Shashimi,1898-01-01,551,142.0,SteakSeafood
Boneless Catfish Fillet for two,1898-01-01,1,167.0,SteakSeafood
Nova Scotia Lox and Scrambled Eggs,1898-01-01,1154,123.0,SeafoodChicken
Minute Steak,1898-01-01,551,143.0,Steak
Cola,1898-01-01,329,154.0,
Steak Minute,1898-01-01,1914,103.0,Steak
Chicken Parmesan,1898-01-01,2897,70.0,Chicken
Wings and Beer Deal,1898-01-01,3956,35.0,Chicken
Clam Chowder and bread,1898-01-01,3705,42.0,Seafood
Fried Oyster Crabs,1898-01-01,3921,36.0,Seafood
